ID,LATITUDE,LONGITUDE,SCHOOLNAME,ADDRESS,CITY,STATE
1839,30.20950012,-92.65495882,Ward Elementary School,1303 South Cutting Avenue,Jennings,LA
1840,32.07788782,-93.3752474,Ware Youth Center,Route 1 Box 6000,Coushatta,LA
1841,29.96791216,-90.09056105,Warren Easton Senior High School,3019 Canal Street,New Orleans,LA
1842,30.60929786,-92.0585657,Washington Career & Technical Education Center,605 Buhot Street,Washington,LA
1843,30.92610057,-89.83435051,Washington Correctional Institute,27268 Hwy. 21,Angie,LA
1844,29.97621138,-90.24316055,Washington Elementary School,606 Clay Street,Kenner,LA
1845,29.97619438,-90.24311955,Washington Elementary School,606 Clay Street,Kenner,LA
1846,30.60939781,-92.06476563,Washington Elementary School,1530 Hwy. 10,Washington,LA
1847,30.25179912,-93.17635996,Washington/Marion Magnet High School,2802 Pineview Street,Lake Charles,LA
1848,32.60418291,-93.28434994,Webster Junior High School,700 East Union,Minden,LA
1849,32.62508298,-93.28964994,Webster Parish Achievement Center,109 Clerk St,Minden,LA
1850,32.62508298,-93.28964994,Webster Parish Expulsion School,109 Clerk Street,Minden,LA
1851,30.43610938,-91.01295471,Wedgewood Elementary School,2330 Aspenwood Ave,Baton Rouge,LA
1852,30.23489856,-92.81375845,Welsh Elementary School,222 East Bourgeois Street,Welsh,LA
1853,30.23479856,-92.81145845,Welsh High School,306 East Bourgeois Street,Welsh,LA
1854,30.23139906,-92.72055857,Welsh-Roanoke Junior High School,8150 West Highway 90,Roanoke,LA
1855,32.46368323,-93.78045179,Werner Park Elementary School,2715 Corbitt Street,Shreveport,LA
1856,30.97220006,-89.83834969,Wesley Ray Elementary School,30523 Wesley Ray Road,Angie,LA
1857,30.8303062,-91.3861543,West Feliciana High School,8604 U.S. Hwy. 61,St. Francisville,LA
1858,30.82840621,-91.3856543,West Feliciana Middle School,9559 Bains Road,St. Francisville,LA
1859,29.90421244,-90.07366091,West Jefferson High School,2200 Eighth Street,Harvey,LA
1860,31.12839023,-93.27135155,West Leesville Elementary School,1200 Abe Allen Memorial Drive,Leesville,LA
1861,32.51219248,-92.13845322,West Monroe High School,201 Riggs Street,West Monroe,LA
1862,32.42889008,-92.33715257,West Ouachita High School,4061 Caples Road,West Monroe,LA
1863,29.5981138,-90.72765898,West Park Elementary School,7573 Park Avenue,Houma,LA
1864,32.51519162,-92.22115319,West Ridge Middle School,6977 Cypress Street,West Monroe,LA
1865,30.72650546,-90.51355191,West Side Middle School,401 West Oak Street,Amite,LA
1866,30.04661088,-90.58205854,West St. John Elementary School(K-7),2555 La Hwy. 18,Edgard,LA
1867,30.05201066,-90.52295866,West St. John High School,480 LA Hwy 3127,Edgard,LA
1868,29.86291323,-91.57205803,West St. Mary High School,18333 Hwy 182 West,Baldwin,LA
1869,29.78731334,-90.81385894,West Thibodaux Middle School,1111 East Twelfth Street,Thibodaux,LA
1870,29.85521248,-90.10526065,Westbank Community School,2590 Barataria Boulevard,Marrero,LA
1871,29.85521248,-90.10526065,Westbank Pre-K Center,2590 Barataria Boulevard,Marrero,LA
1872,30.43000924,-91.13545461,Westdale Heights Academic Magnet School,2000 College Drive,Baton Rouge,LA
1873,30.44160916,-91.13245455,Westdale Middle School,5650 Claycut Road,Baton Rouge,LA
1874,30.25369968,-93.26656057,Western Heights Elementary School,1100 Elizabeth Street,Westlake,LA
1875,29.99971037,-91.85546046,Westgate High School,2305 Jefferson Island Road,New Iberia,LA
1876,30.26059963,-93.26226038,Westlake High School,1000 Garden Drive,Westlake,LA
1877,30.46240079,-92.10806407,Westminster Christian Academy,186 Westminster Dr.,Opelousas,LA
1878,30.40990946,-91.09245477,Westminster Elementary School,8935 Westminster Dr,Baton Rouge,LA
1879,32.24038852,-92.60715125,Weston High School,213 Highway 505,Jonesboro,LA
1880,30.23590474,-92.09636223,Westside Elementary School,912 Delhomme Ave,Scott,LA
1881,30.48950864,-90.87515461,Westside Junior High School,12615 Burgess Avenue,Walker,LA
1882,29.90731214,-90.14286069,Westwego Elementary School,537 Avenue D,Westwego,LA
1883,32.43738323,-93.79715174,Westwood Elementary School,7325 Jewella Avenue,Shreveport,LA
1884,30.25649967,-93.25796042,Westwood Elementary School,1900 Sampson Street,Westlake,LA
1885,30.31821058,-89.7610617,Whispering Forest Elementary School,300 Spiehler Road,Slidell,LA
1886,30.16611157,-91.14705644,White Castle High School,32695 Graham Street,White Castle,LA
1887,30.593708,-91.13935409,White Hills Elementary School,5300 Bentley Drive,Baker,LA
1888,32.54068619,-92.64555222,Wildflower Montessori School,700 W Woodward Avenue,Ruston,LA
1889,30.37130972,-91.11705495,Wildwood Elementary School,444 Halfway Tree Rd,Baton Rouge,LA
1890,29.98255838,-90.03738529,William Frantz Elementary School,3240 Law Street,New Orleans,LA
1891,29.91871251,-90.04786104,William Hart Elementary School,2001 Hancock Street,Gretna,LA
1892,29.93611249,-90.04156112,William J. Fischer Elementary School,1801 L.B. Landry Avenue,New Orleans,LA
1893,29.94538426,-90.084724,William J. Guste Elementary School,2625 Thalia Street,New Orleans,LA
1894,30.47260687,-90.10295634,William Pitcher Junior High School,415 South Jefferson Avenue,Covington,LA
1895,30.47880884,-91.14485433,Winbourne Elementary School,4501 Winbourne Ave,Baton Rouge,LA
1896,31.85019106,-92.78115151,Winn Correctional Center,Highway 560 Gum Springs Road,Winnfield,LA
1897,31.92398996,-92.64175204,Winnfield Intermediate School,400 South St. John Street,Winnfield,LA
1898,31.92728987,-92.62585209,Winnfield Kindergarten,1607 Maple Street,Winnfield,LA
1899,31.94768998,-92.65725183,Winnfield Middle School,685 Thomas Mill Road,Winnfield,LA
1900,31.92398996,-92.64155204,Winnfield Primary School,401 South St. John Street,Winnfield,LA
1901,31.94768997,-92.65495184,Winnfield Senior High School,631 Thomas Mill Road,Winnfield,LA
1902,32.16459483,-91.72195157,Winnsboro Elementary School,1310 Warren Street,Winnsboro,LA
1903,30.35650801,-90.05815746,Woodlake Elementary School,1620 Livingston Street,Mandeville,LA
1904,30.49670673,-90.44835484,Woodland Park Early Learning Center,1000 Range Road,Hammond,LA
1905,29.86571263,-90.05386084,Woodland West Elementary School,2143 Mars Street,Harvey,LA
1906,32.41199104,-92.25775253,Woodlawn Elementary School,5946 Jonesboro Road,West Monroe,LA
1907,32.43718333,-93.77365162,Woodlawn High School,7340 Wyngate Drive,Shreveport,LA
1908,30.3731098,-91.01365507,Woodlawn High School,15755 Jefferson Highway,Baton Rouge,LA
1909,30.39130968,-91.01545496,Woodlawn Middle School,14939 Tiger Bend Road,Baton Rouge,LA
1910,32.41249147,-92.21705255,Woodlawn Middle School,175 Woodlawn School Road,West Monroe,LA
1911,29.85421261,-90.07026075,Woodmere Elementary School,3190 Destrehan Avenue,Harvey,LA
1912,30.18880583,-92.0635621,Woodvale Elementary School,100 Leon Drive,Lafayette,LA
1913,32.49079297,-92.08505314,Wossman High School,1600 Arizona Street,Monroe,LA
1914,32.41839721,-91.19505287,Wright Elementary School,809 Wyche Street,Tallulah,LA
1915,29.69161601,-91.17825864,Wyandotte Elementary School,2 Glenwood Avenue,Morgan City,LA
1916,29.92031223,-90.11016084,Xavier University Prep School (Girls) (C),5116 Magazine Street,New Orleans,LA
1917,30.09830786,-91.99436164,Youngsville Middle School,600 Church Street,Youngsville,LA
1918,32.45288344,-93.72205141,Youree Drive Middle School,6008 Youree Drive,Shreveport,LA
1919,31.37068933,-92.40155777,Youth Challenge Program-Camp Beauregard,505 F Street  Camp Beauregard,Pineville,LA
1920,32.57288348,-93.41685022,Youth Challenge Program-Camp Minden,200 Louisiana Blvd,Minden,LA
1921,30.20361115,-91.11435609,Youth Challenge Program-Gillis Long,5445 Point Clair Road Bldg 19,Carville,LA
1922,30.64060758,-91.16695403,Zachary Elementary School,3775 Hemlock Street,Zachary,LA
1923,30.65070753,-91.16035402,Zachary High School,4100 Bronco Lane,Zachary,LA
1924,31.63338759,-93.64514581,Zwolle Elementary School,743 Championship Drive,Zwolle,LA
1925,31.63348758,-93.6461458,Zwolle High School,649 Championship Drive,Zwolle,LA
